mant_id,cliente_cuit,sucursal_id,sucursal_nombre,zonal_nombre,ciclo,comienzo_contrato,final_contrato,precio_sin_iva,precio_con_iva,emails
,30500010912,1785,Florencio Varela,PBA Sur,2023/2024,01/03/2024,28/02/2025,377559.00,456846.39,"1785ger@bna.com.ar,1785pop@bna.com.ar"
,30500010912,1785,Anexo Operativo Florencio Varela,PBA Sur,2023/2024,01/03/2024,28/02/2025,458879.40,555244.07,"1785ger@bna.com.ar,1785pop@bna.com.ar"
,30500010912,2170,La Plata,PBA Sur,2023/2024,01/03/2024,28/02/2025,940440.00,1137932.40,"2170ger@bna.com.ar,2170pop@bna.com.ar,2170oop1@bna.com.ar, 2170ope@bna.com.ar"
,30500010912,2170,Gerencia Zonal La Plata,PBA Sur,2023/2024,01/03/2024,28/02/2025,151023.60,182738.56,"2170ger@bna.com.ar,2170pop@bna.com.ar,2170oop1@bna.com.ar, 2170ope@bna.com.ar"
,30500010912,2170,Banco de Planta UNLP,PBA Sur,2023/2024,01/03/2024,28/02/2025,317675.10,384386.87,"2170ger@bna.com.ar,2170pop@bna.com.ar,2170oop1@bna.com.ar, 2170ope@bna.com.ar"
,30500010912,2280,Lomas de Zamora,PBA Sur,2023/2024,01/03/2024,28/02/2025,935184.60,1131573.37,"2280ger@bna.com.ar,2280pop@bna.com.ar"
,30500010912,2149,Lanus Este,PBA Sur,2023/2024,01/03/2024,28/02/2025,357367.20,432414.31,"2149ger@bna.com.ar,2149pop@bna.com.ar"
,30500010912,2150,Lanus Oeste,PBA Sur,2023/2024,01/03/2024,28/02/2025,557625.60,674726.98,"2150ger@bna.com.ar,2150pop@bna.com.ar"
,30500010912,2315,Llavallol,PBA Sur,2023/2024,01/03/2024,28/02/2025,232344.00,281136.24,"2315ger@bna.com.ar,2315pop@bna.com.ar"
,30500010912,2460,Monte,PBA Sur,2023/2024,01/03/2024,28/02/2025,441453.60,534158.86,"2460ger@bna.com.ar,2460pop@bna.com.ar"
,30500010912,2830,Quilmes,PBA Sur,2023/2024,01/03/2024,28/02/2025,335515.80,405974.12,"2830ger@bna.com.ar,2830pop@bna.com.ar"
,30500010912,2830,Centro PYME Quilmes,PBA Sur,2023/2024,01/03/2024,28/02/2025,121980.60,147596.53,"2830ger@bna.com.ar,2830pop@bna.com.ar"
,30500010912,2830,Anexo Electronico Quilmes,PBA Sur,2023/2024,01/03/2024,28/02/2025,185875.20,224908.99,"2830ger@bna.com.ar,2830pop@bna.com.ar"
,30500010912,2905,Remedios de Escalada,PBA Sur,2023/2024,01/03/2024,28/02/2025,127789.20,154624.93,"2905ger@bna.com.ar,2905pop@bna.com.ar"
,30500010912,3318,San Vicente,PBA Sur,2023/2024,01/03/2024,28/02/2025,630648.00,763084.08,"3318ger@bna.com.ar,3318pop@bna.com.ar"
,30500010912,3385,Sarandi,PBA Sur,2023/2024,01/03/2024,28/02/2025,256408.20,310253.92,"3385ger@bna.com.ar,3385pop@bna.com.ar"
,30500010912,3505,Tolosa,PBA Sur,2023/2024,01/03/2024,28/02/2025,360824.70,436597.89,"3505ger@bna.com.ar,3505pop@bna.com.ar"
,30500010912,3633,Valentin Aisina,PBA Sur,2023/2024,01/03/2024,28/02/2025,418219.20,506045.23,"3633ger@bna.com.ar,3633pop@bna.com.ar"
,30500010912,3670,Veronica,PBA Sur,2023/2024,01/03/2024,28/02/2025,325281.60,393590.74,"3670ger@bna.com.ar,3670pop@bna.com.ar"
,30500010912,3834,Wilde,PBA Sur,2023/2024,01/03/2024,28/02/2025,415453.20,502698.37,"3834ger@bna.com.ar,3834pop@bna.com.ar"
,30500010912,1234,Boulogne,PBA Norte,2023/2024,01/03/2024,28/02/2025,331781.70,401455.86,"1234ger@bna.com.ar,1234pop@bna.com.ar"
,30500010912,1887,General Pacheco con Anexo Operativo,PBA Norte,2023/2024,01/03/2024,28/02/2025,842247.00,1019118.87,"1887ger@bna.com.ar,1887pop@bna.com.ar"
,30500010912,9209,Martinez y Ex Cai,PBA Norte,2023/2024,01/03/2024,28/02/2025,406602.00,491988.42,"9209ger@bna.com.ar,9209pop@bna.com.ar"
,30500010912,2507,Munro,PBA Norte,2023/2024,01/03/2024,28/02/2025,564264.00,682759.44,"2507ger@bna.com.ar,2507pop@bna.com.ar"
,30500010912,9209,CAPN Martinez,PBA Norte,2023/2024,01/03/2024,28/02/2025,174258.00,210852.18,"9209cne4@bna.com.ar,9209cne@bna.com.ar"
,30500010912,2620,Olivos,PBA Norte,2023/2024,01/03/2024,28/02/2025,575051.40,695812.19,"2620ger@bna.com.ar,2620pop@bna.com.ar"
,30500010912,3150,San Fernando,PBA Norte,2023/2024,01/03/2024,28/02/2025,354048.00,428398.08,"3150ger@bna.com.ar,3150pop@bna.com.ar"
,30500010912,3167,San Isidro ,PBA Norte,2023/2024,01/03/2024,28/02/2025,757580.88,916672.86,"3167ger@bna.com.ar,3167pop@bna.com.ar"
,30500010912,3245,San Martin con Anexo Operativo y RRLL,PBA Norte,2023/2024,01/03/2024,28/02/2025,791352.60,957536.65,"3245ger@bna.com.ar,3245pop@bna.com.ar"
,30500010912,3480,Tigre con Anex,PBA Norte,2023/2024,01/03/2024,28/02/2025,538540.20,651633.64,"3480ger@bna.com.ar,3480pop@bna.com.ar"
,30500010912,3675,Vicentre Lopez,PBA Norte,2023/2024,01/03/2024,28/02/2025,364697.10,441283.49,"3675ger@bna.com.ar,3675pop@bna.com.ar"
,30500010912,3714,Villa Ballester,PBA Norte,2023/2024,01/03/2024,28/02/2025,394984.80,477931.61,"3714ger@bna.com.ar,3714pop@bna.com.ar"
,30500010912,3837,Virreyes,PBA Norte,2023/2024,01/03/2024,28/02/2025,287664.00,348073.44,"3837ger@bna.com.ar,3837pop@bna.com.ar"
